"result_id","CODE_INDI_ANO","result_score","latitude","longitude"
"86070_2410_00024","1680252","0.5551968085106384","46.567733","0.647252"
"86133_0572_00005","2513242","0.30985152219873147","46.52352","0.308758"
"86099_0379","1750042","0.4125953719008264","46.486797","0.552125"
"86194_4767_00099","3050812","0.6120341680960548","46.598763","0.342855"
"86137_0886_00053","1664462","0.560181848998459","47.012683","0.07589"
"86005_0036_00004","1668082","0.527718418972332","46.946903","0.114591"
"","1843202","","",""
"86047_0042_00011","1665522","0.49918809725158564","46.829834","0.307906"
"86077_0114","3303502","0.5034064378478664","46.444534","0.665487"
"","1661992","","",""
"86115_1290","3643912","0.41813612440191383","46.678577","0.374091"
"86187_0080_00001","1678812","0.5826996226415093","46.578065","0.778058"
"86241_0040_00012","2170282","0.6514091608391608","46.954903","0.693056"
"86024_0130_00004","3358002","0.4988323420647149","46.552168","0.219638"
"86137_0378_00023","3472702","0.5134935650623885","47.014624","0.108027"
"86209_0012_00023","4225402","0.6633947107438015","46.477414","0.334822"
"86082_qo60sk_00026","1653992","0.7064384051036683","46.303997","0.182779"
"86157_1272_00015","1893802","0.6284982131661443","46.538445","0.416286"
"86220_0069_00004","1654022","0.5747853146853146","46.113099","0.28933"
"86100_1380_00003_bis","1655262","0.5945445454545454","46.539625","0.267755"
"86137_0490_00018","1664512","0.5864666310160427","47.010663","0.107157"
"86263_0175_00008","1655272","0.57486935828877","46.506288","0.347085"
"86183_0114_00020","1533612","0.4962645454545454","46.972799","0.615577"
"86103_0022_00006","2447302","0.49608636363636366","46.373329","0.403393"
"86147_0164_00004","1655302","0.5777345454545454","46.4106","0.208746"
"86052_0112_00006","2560402","0.6575119834710742","46.316107","0.328549"
"86297_0945_00017","1378362","0.6392179969183358","46.602918","0.283806"
"86158_1774_00013","1794632","0.6095498347107438","46.624801","0.306757"
"86297_1870_00011","1416592","0.6375627272727272","46.572935","0.271749"
"86194_2140_00001_bis","3629592","0.3606779060265577","46.578912","0.349665"
"86165_0440_00039","1668352","0.5948216783216783","46.427942","0.87587"
"86286_0035_00001","2994802","0.5384827272727273","46.863918","0.173301"
"86114_0090_00002","2245852","0.6045254545454545","46.571347","0.566202"
"86081_gc3ewj_00050","2767542","0.4761180327868852","46.770078","0.449951"
"86264_0095_00006","1654052","0.6080990430622009","46.275864","0.347101"
"86226_0127","4006582","0.5757106493506493","46.56208","0.499451"
"86019_0011_00028","2205242","0.6027136363636364","46.729271","0.435106"
"86294_bxu67n","3945812","0.49828809917355366","46.646184","0.175199"
"86297_0645_00003","3015552","0.6328827272727272","46.554241","0.290022"
"86115_1500_00018","2029472","0.5276017482517482","46.690662","0.373471"
"86070_2530_00020","1571272","0.399889037433155","46.56683","0.635022"
"86190_0047_00001","1833662","0.5645127272727272","46.345774","0.70992"
"86007_0021_00006","1673992","0.5278212121212121","46.855333","0.546025"
"86066_2425_00022","1674002","0.5945475401069519","46.82898","0.557534"
"86028_0017_00005_bis","1678882","0.5850663636363636","46.598379","0.469079"
"86066_3590_00046","1666372","0.5789814285714285","46.806319","0.539147"
"86139_0190_00011","1941292","0.5534509090909091","46.42998","0.114622"
"","1697372","","",""
"","1178642","","",""
"86214_1903_00017","2142012","0.6519266568914955","46.558474","0.330496"
"86165_1710_00025","1668362","0.6112789256198347","46.428256","0.881579"
"86157_1250_00007","2163272","0.6497996969696969","46.54891","0.403189"
"86018_0100_00021","1819332","0.5368004448742747","47.04399","0.120032"
